Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop ,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
Libya,507274,,6437.0,,500835.0,,2.0,,72048.0,914,2483848.0,352782.0,7040745.0,Africa,14.0,1094.0,3.0,,,0.3
Ethiopia,501117,,7574.0,,488171.0,,5372.0,,4148.0,63,5565340.0,46066.0,120812698.0,Africa,241.0,15951.0,22.0,,,44
Réunion,494595,,921.0,,,,,,544672.0,1014,1603660.0,1766027.0,908061.0,Africa,2.0,986.0,1.0,,,82706
Honduras,474590,,11165.0,,,,,,46432.0,1092,1660662.0,162472.0,10221247.0,North America,22.0,915.0,6.0,,,32372
Armenia,451426,,8776.0,,435162.0,,7488.0,,151895.0,2953,3242901.0,1091164.0,2971966.0,Asia,7.0,339.0,1.0,,,2520
Bosnia and Herzegovina,403585,,16385.0,,379084.0,,8116.0,,124206.0,5043,1884721.0,580036.0,3249317.0,Europe,8.0,198.0,2.0,,,2498
Oman,399449,,4628.0,,,,,,75028.0,869,25000000.0,4695724.0,5323993.0,Asia,13.0,1150.0,0.0,,,1907
Luxembourg,391117,,1232.0,,,,,,608865.0,1918,4587145.0,7140959.0,642371.0,Europe,2.0,521.0,0.0,,,113945
North Macedonia,350520,,9971.0,,337068.0,,3481.0,,168414.0,4791,2226216.0,1069626.0,2081304.0,Europe,6.0,209.0,1.0,,,1673
Zambia,349304,,4069.0,,341316.0,,3919.0,,17940.0,209,4112961.0,211244.0,19470234.0,Africa,56.0,4785.0,5.0,,,201
Kenya,344130,,5689.0,,337309.0,,1132.0,,6122.0,101,3967062.0,70569.0,56215221.0,Africa,163.0,9881.0,14.0,,,20
Brunei,343075,,225.0,,243601.0,,99249.0,3.0,770209.0,505,717784.0,1611437.0,445431.0,Asia,1.0,1980.0,1.0,,,222816
Albania,334863,,3605.0,,330233.0,,1025.0,,116825.0,1258,1941032.0,677173.0,2866374.0,Europe,9.0,795.0,1.0,,,358
Botswana,330442,,2801.0,,327049.0,,592.0,1.0,135363.0,1147,2026898.0,830300.0,2441162.0,Africa,7.0,872.0,1.0,,,243
Montenegro,296501,,2846.0,,291794.0,,1861.0,,472173.0,4532,2769281.0,4410034.0,627950.0,Europe,2.0,221.0,0.0,,,2964
Algeria,272010,,6881.0,,183061.0,,82068.0,,5998.0,152,230960.0,5093.0,45350148.0,Africa,167.0,6591.0,196.0,,,1810
Nigeria,267188,,3155.0,,259953.0,,4080.0,11.0,1233.0,15,5708974.0,26339.0,216746934.0,Africa,811.0,68700.0,38.0,,,19
Zimbabwe,266328,,5737.0,,258888.0,,1703.0,12.0,17371.0,374,2525756.0,164744.0,15331428.0,Africa,58.0,2672.0,6.0,,,111
Uzbekistan,253662,,1637.0,,241486.0,,10539.0,23.0,7378.0,48,1377915.0,40077.0,34382084.0,Asia,136.0,21003.0,25.0,,,307
Mozambique,233731,,2250.0,,228805.0,,2676.0,11.0,7064.0,68,1371127.0,41437.0,33089461.0,Africa,142.0,14706.0,24.0,,,81
Afghanistan,232031,,7985.0,,210085.0,,13961.0,,5693.0,196,1364874.0,33490.0,40754388.0,Asia,176.0,5104.0,30.0,,,343
